Exposure_Condition,Group_Comparison,Timepoint,BioSpyder_Identifier,Gene_Symbol,Mean_Expression_Count,padj,log2FC,"Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 1.5
(i.e., log2FC of 0.5849)?","Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 2
(i.e., log2FC of 1)?","Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 2.5
(i.e., log2FC of 1.3219)?"
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Apc_77524,Apc,183.102,7.78E-02,-0.7083,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Api5_68047,Api5,549.459,2.21E-03,-0.7461,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Apln_32145,Apln,34.326,9.02E-03,1.2436,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Apln_68427,Apln,150.364,1.97E-02,0.8079,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Apol9b_62923,Apol9b,93.229,5.15E-02,-1.2436,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Aqp5_58199,Aqp5,157.617,2.59E-02,0.6254,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arcn1_68722,Arcn1,1506.617,2.09E-02,-0.5865,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arf1_31811,Arf1,851.174,5.71E-03,5.4954,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arfgef1_57541,Arfgef1,1890.168,2.73E-05,-0.7519,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arhgap18_65204,Arhgap18,254.371,3.53E-03,-0.8761,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arhgap19_57456,Arhgap19,12.375,7.51E-02,-1.0681,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arhgap27_73932,Arhgap27,45.022,2.68E-02,0.8643,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arhgap29_74926,Arhgap29,74.919,5.85E-02,-0.6308,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arhgap29_79542,Arhgap29,746.180,1.48E-02,-0.6939,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arhgap4_72758,Arhgap4,64.180,7.16E-02,0.6301,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arhgap40_61637,Arhgap40,12.305,4.92E-02,1.5383,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arhgap44_69690,Arhgap44,71.200,9.61E-02,0.7362,Yes,No,No
